Row Id,Issue Date,Year,Month,Dev. Type,File Num,Status,Case Type,Work Type,Chap. 245,Watershed,Existing Land Use,Proposed Land Use,Land Use Trans.,Limits of Construction (sqft),Site Area (sqft),Native Inches Surveyed,Native Inches Removed,Non-Native Inches Removed,Inches Replanted,Total Removed,Preserved,Net Difference,Preservation Percentile,Removal Percentile,Location,Council District,See Details,Property Id
11255428,04/06/2015,2015,4,Site Plan,SP-2014-0481D,Approved and Released,Site Plan Administrative,Utility Line,No,Johnson Creek,"MILITARY, NURSING HOME, TXDOT OFF","Military, nursing home txdot offices","MILITARY, NURSING HOME, TXDOT OFF to Military, nursing home txdot offices",,,620,9,0,0,9,611,9,0.81,0.37,"(1000000000000000000000000000000, 1000000000000000000000000000000)",,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11255428,10809
11190450,09/08/2015,2015,9,Site Plan,SP-2014-0293C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Shoal Creek,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,15672.888,15672.888,102,102,0,0,102,0,102,0.18,0.61,"(-97.74354578, 30.28619331)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11190450,248485
11469458,06/24/2016,2016,6,Site Plan,SP-2016-0011C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Onion Creek,Vacant,Industrial,Vacant to Industrial,0,127151.64,0,0,0,0,0,0,0,0.18,0.18,"(-97.70520313, 30.19461933)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11469458,5311469
11496808,08/25/2016,2016,8,Site Plan,SP-2016-0121D.SH,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Cottonmouth Creek,Vacant,Streets and Drainage,Vacant to Streets and Drainage,394653.6,2776078.8,0,0,0,0,0,0,0,0.18,0.18,"(-97.71861506, 30.15389832)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11496808,5321582
11603516,09/07/2017,2017,9,Site Plan,SP-2016-0439C,Approved and Released,Site Plan Administrative,Consolidated,No,Slaughter Creek,Vacant,Commercial-office,Vacant to Commercial-office,125888.4,125888.4,534,273,0,138.5,273,261,134.5,0.69,0.77,"(-97.79493648, 30.16546392)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11603516,5373594
11066954,09/19/2014,2014,9,Site Plan,SP-2013-0487C,Approved and Released,Site Plan Administrative,Consolidated,No,Lake Creek,Church/Parking,Church/Parking,Church/Parking to Church/Parking,0,347469,9067,2730,0,508.5,2730,6337,2221.5,0.99,0.98,"(-97.79934509, 30.44753142)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11066954,5067463
11333424,06/09/2016,2016,6,Site Plan,SP-2015-0178C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Commercial,Commercial,Commercial to Commercial,0,713077.2,1286.5,39.87,7.5,100.5,47.37,1246.63,-53.13,0.89,0.50,"(-97.67047248, 30.28391084)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11333424,325832
11355803,08/08/2017,2017,8,Subdivision,C8-2016-0153.0B,Subdivision Recorded,Subdivision Construction Plan,Concurrent,No,Walnut Creek,Vacant,Single Family,Vacant to Single Family,0,350178.84,2152,197.5,19,0,216.5,1954.5,216.5,0.93,0.73,"(-97.67003031, 30.36335414)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11355803,3183574
11390626,06/10/2016,2016,6,Site Plan,SP-2015-0329D,Approved and Released,Site Plan Administrative,Utility Line,No,Barton Creek,Vacant,Utility Line,Vacant to Utility Line,,,196,90,0,0,90,106,90,0.55,0.59,"(-97.8003085, 30.25561259)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11390626,5204825
11325195,02/04/2016,2016,2,Subdivision,C8-2014-0180.1B,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,No,Onion Creek,Vacant,Industrial,Vacant to Industrial,0,1219680,1732,1393,95,830.5,1488,339,657.5,0.73,0.94,"(-97.7040819, 30.19658553)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11325195,158409
11483553,06/30/2016,2016,6,Site Plan,SP-2016-0071C,Approved and Released,Site Plan Administrative,Consolidated,No,Onion Creek,Vacant,Industrial,Vacant to Industrial,0,156380.4,0,0,0,0,0,0,0,0.18,0.18,"(-97.70515127, 30.19384831)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11483553,5314955
11187156,09/10/2015,2015,9,Site Plan,SP-2014-0287C,Approved and Released,Site Plan Administrative,Consolidated,No,Williamson Creek,Vacant,Commercial,Vacant to Commercial,940782.744,940782.744,145,145,0,94,145,0,51,0.18,0.67,"(-97.87080623, 30.25677297)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11187156,3279976
11764535,07/03/2018,2018,7,Subdivision,C8-2014-0147.2B,Subdivision Recorded,Subdivision Construction Plan,Concurrent,No,Harris Branch,Vacant,Single Family,Vacant to Single Family,426016.8,2221560,228,24.5,0,13,24.5,203.5,11.5,0.64,0.43,"(-97.60482286, 30.3777163)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11764535,5404739
11431951,07/27/2016,2016,7,Site Plan,SP-2015-0485C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Retail Parking Lot,Restaurant,Retail Parking Lot  to Restaurant,0,47741.76,43,9,0,12.5,9,34,-3.5,0.42,0.37,"(-97.6747712, 30.41554654)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11431951,5304478
11444336,08/25/2016,2016,8,Site Plan,SP-2015-0516C,Approved and Released,Site Plan Administrative,Consolidated,No,Boggy Creek,Single Family,Commercial Multi Family,Single Family  to Commercial Multi Family,7740.612,7740.612,43,31,0,21,31,12,10,0.37,0.45,"(-97.72253915, 30.29867804)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11444336,591680
11651175,01/17/2018,2018,1,Site Plan,SP-2016-0611C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Commercial,Commercial,Commercial to Commercial,88862.4,88862.4,129.5,54,0,44.5,54,75.5,9.5,0.50,0.52,"(-97.66062572, 30.28439729)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11651175,631359
11131656,02/27/2015,2015,2,Site Plan,SP-2014-0164C,Approved and Released,Site Plan Administrative,Consolidated,No,Boggy Creek,Vacant,Commercial Multi Family,Vacant to Commercial Multi Family,51662.16,51662.16,196,196,0,108,196,0,88,0.18,0.71,"(-97.70909238, 30.28056384)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11131656,5095829
11585724,03/16/2017,2017,3,Site Plan,SP-2016-0389C.F1,Approved and Released,Site Plan Administrative,Consolidated,Yes,Bull Creek,Vacant,Commercial,Vacant to Commercial,196020,221284.8,0,0,0,0,0,0,0,0.18,0.18,"(-97.84878618, 30.40535822)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11585724,3690910
11767748,05/29/2018,2018,5,Site Plan,SP-2017-0289B,Approved and Released,Site Plan Administrative,Non Consolidated Construction,No,Williamson Creek,Vacant,Commercial,Vacant to Commercial,479595.6,,1078,126,375,75,501,952,426,0.86,0.84,"(-97.83554094, 30.23580506)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11767748,5425662
11449132,11/10/2016,2016,11,Site Plan,SP-2015-0531C,Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Single Family,Condominium,Single Family  to Condominium,9931.68,9931.68,114,58,0,30,58,56,28,0.47,0.52,"(-97.72879395, 30.26608316)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11449132,443018
11214542,03/17/2015,2015,3,Site Plan,SP-2014-0362D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Carson Creek,Small business,Small business,Small business to Small business,0,41643.36,135,0,16,10,16,135,6,0.58,0.39,"(-97.7156548, 30.20758829)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11214542,658400
11646125,08/02/2017,2017,8,Site Plan,SP-2016-0578C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Shoal Creek,Commercial Multi-Family,Commercial Multi Family,Commercial Multi-Family to Commercial Multi Family,13982.76,13939.2,51,51,0,0,51,0,51,0.18,0.51,"(-97.74416565, 30.28541374)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11646125,475400
10865013,12/13/2013,2013,12,Site Plan,SP-2012-0406C.SH,Approved and Released,Site Plan Administrative,Consolidated,No,Boggy Creek,Vacant,VMU-Retail & Residential,Vacant to VMU-Retail & Residential,15638.04,15638.04,169,90,79,24,169,79,145,0.51,0.69,"(-97.71984877, 30.27493954)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10865013,243895
11457707,07/07/2016,2016,7,Site Plan,SP-2015-0561DS,Approved and Released,Site Plan Administrative Small Project,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Williamson Creek,Vacant,Streets and Drainage,Vacant to Streets and Drainage,9970.884,9970.884,60,0,0,0,0,60,0,0.47,0.18,"(-97.75661121, 30.20503555)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11457707,5308977
11076827,02/20/2014,2014,2,Subdivision,C8-03-0025.04.4B.SH,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,No,Onion Creek,Vacant,"SF, PUB, ROW","Vacant to SF, PUB, ROW",481338,479160,0,0,0,0,0,0,0,0.18,0.18,"(1000000000000000000000000000000, 1000000000000000000000000000000)",,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11076827,7613
10918335,11/25/2013,2013,11,Site Plan,SP-2013-0108C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Commercial,Commercial,Commercial to Commercial,104108.4,104151.96,0,0,0,0,0,0,0,0.18,0.18,"(-97.74397612, 30.40273075)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10918335,449787
10651010,01/24/2013,2013,1,Site Plan,SPC-2011-0268C,Approved and Released,Site Plan Commission,Consolidated,No,Lake Austin,Vacant,Office/Commercial,Vacant to Office/Commercial,1376931.6,1376931.6,0,0,0,0,0,0,0,0.18,0.18,"(-97.80698282, 30.33609539)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10651010,1148165
10684066,02/27/2012,2012,2,Subdivision,C8-2009-0048.0BS,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,No,Town Lake,Single Family,Single Family,Single Family  to Single Family,33105.6,0,0,0,0,0,0,0,0,0.18,0.18,"(-97.78890005, 30.28133001)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10684066,122468
11481622,09/29/2016,2016,9,Site Plan,SP-2016-0059D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Williamson Creek,Commercial,Commercial,Commercial to Commercial,13068,13068,246,0,0,0,0,246,0,0.68,0.18,"(-97.86223551, 30.22881613)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11481622,5314746
10946063,02/19/2014,2014,2,Site Plan,SP-2013-0170C,Approved and Released,Site Plan Administrative,Consolidated,No,West Bouldin Creek,Single Family,Single Family,Single Family  to Single Family,121968,121968,1935,500,119,204,619,1435,415,0.91,0.86,"(-97.77781963, 30.24190542)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10946063,865082
11320248,12/07/2015,2015,12,Site Plan,SP-2015-0152C,Approved and Released,Site Plan Administrative,Consolidated,No,Town Lake,Vacant,Commercial,Vacant to Commercial,48961.44,54014.4,496,0,144,0,144,496,144,0.78,0.67,"(-97.74365146, 30.26373894)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11320248,5292903
11742701,11/15/2017,2017,11,Site Plan,SP-2017-0225C,Approved and Released,Site Plan Administrative,Consolidated,No,Little Walnut Creek,Commercial,Commercial,Commercial to Commercial,8712,,0,0,0,0,0,0,0,0.18,0.18,"(-97.71473388, 30.37601774)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11742701,481750
11635123,02/01/2018,2018,2,Site Plan,SP-2016-0541C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Williamson Creek,Automotive Repair,Commercial,Automotive Repair to Commercial,16988.4,30927.6,111,0,0,0,0,111,0,0.56,0.18,"(-97.77354507, 30.205571)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11635123,846531
11466629,03/27/2017,2017,3,Site Plan,SP-2016-0001D,Approved and Released,Site Plan Administrative,Retaining Wall,No,Lake Austin,Single Family,Single Family,Single Family  to Single Family,179467.2,179488.98,64,0,0,0,0,64,0,0.48,0.18,"(-97.91204316, 30.36867011)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11466629,3118937
10820749,11/08/2013,2013,11,Site Plan,SP-2012-0290C,Approved and Released,Site Plan Administrative,Consolidated,Yes,Walnut Creek,Vacant,Condominium,Vacant to Condominium,313196.4,399445.2,9044,4238,46,432,4284,4806,3852,0.98,0.99,"(-97.66284066, 30.39326486)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10820749,3364954
11428355,05/06/2016,2016,5,Site Plan,SP-2015-0456CS,Approved and Released,Site Plan Administrative Small Project,Utility Line,No,Walnut Creek,Commercial,Commercial,Commercial to Commercial,21344.4,,0,0,0,0,0,0,0,0.18,0.18,"(-97.67423152, 30.41473889)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11428355,5303561
11997751,12/02/2018,2018,12,Site Plan,SPC-2018-0342CX,Approved and Released,Site Plan Commission,Consolidated,Yes,Buttermilk Branch,Vacant,Public School,Vacant to Public School,321472.8,,0,0,0,0,0,0,0,0.18,0.18,"(-97.70938397, 30.34470131)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11997751,5629518
11171519,05/14/2015,2015,5,Site Plan,SP-2014-0244DS,Approved and Released,Site Plan Administrative Small Project,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Tannehill Branch,Vacant,Park & Landscaping,Vacant to Park & Landscaping,17424,17424,0,0,0,0,0,0,0,0.18,0.18,"(-97.69837376, 30.29378394)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11171519,5081979
10929993,11/22/2013,2013,11,Site Plan,SP-2013-0140D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Tannehill Branch,Commercial,Private Roadway,Commercial to Private Roadway,324304.2,324304.2,3617,74,0,0,74,3543,74,0.96,0.56,"(-97.71416236, 30.327268)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10929993,835491
10917018,07/18/2013,2013,7,Subdivision,C8-2011-0106.3B,Subdivision Recorded,Subdivision Construction Plan,Non-Concurrent,No,Harris Branch,Vacant,Single Family,Vacant to Single Family,527076,522720,67,67,25,0,92,0,92,0.18,0.59,"(1000000000000000000000000000000, 1000000000000000000000000000000)",,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10917018,13815
11019190,08/25/2014,2014,8,Site Plan,SP-2007-0377C(R1),Approved and Released,Site Plan Administrative,Consolidated,Yes,Walnut Creek,Commercial,Commercial,Commercial to Commercial,152024.4,261729,0,0,0,0,0,0,0,0.18,0.18,"(-97.66386231, 30.28597161)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11019190,393724
11482866,10/12/2016,2016,10,Subdivision,C8-04-0043.06.3B.SH(R1),Subdivision Recorded,Subdivision Construction Plan,Street/Drainage,No,Tannehill Branch,Vacant,"PUD, ROW","Vacant to PUD, ROW",1962378,1611720,0,0,0,0,0,0,0,0.18,0.18,"(-97.69835472, 30.28955407)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11482866,233109
11327425,09/25/2015,2015,9,Site Plan,SP-2015-0165D,Approved and Released,Site Plan Administrative,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Cottonmouth Creek,Vacant,Public,Vacant to Public,103237.2,103237.2,0,0,0,0,0,0,0,0.18,0.18,"(-97.72190533, 30.16218158)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11327425,5187495
10665585,06/29/2012,2012,6,Site Plan,SP-2011-0299C,Approved and Released,Site Plan Administrative,Consolidated,No,Fort Branch,Medical,Medical,Medical to Medical,68824.8,68824.8,0,0,0,0,0,0,0,0.18,0.18,"(-97.67430827, 30.30073589)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10665585,1035230
11340589,05/10/2016,2016,5,Site Plan,SPC-2015-0193C,Approved and Released,Site Plan Administrative,Consolidated,No,Walnut Creek,Commercial,Commercial,Commercial to Commercial,0,150761.16,52,0,0,0,0,52,0,0.46,0.18,"(-97.65734951, 30.32135839)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11340589,5189682
11292123,06/26/2015,2015,6,Site Plan,SP-2015-0070DS,Approved and Released,Site Plan Administrative Small Project,"Bldg/Prkg,Clring,Cut/Fill,Spoil Disposal",No,Bull Creek,Vacant,Streets and Drainage,Vacant to Streets and Drainage,6179,6179,494,155,0,28,155,339,127,0.73,0.68,"(-97.76310193, 30.37599211)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11292123,5124395
11346874,10/06/2015,2015,10,Site Plan,SP-2015-0215CS,Approved and Released,Site Plan Administrative Small Project,Telecommunications Tower,No,Carson Creek,Vacant,Telecommunications Tower,Vacant to Telecommunications Tower,2482.92,2482.92,0,0,0,0,0,0,0,0.18,0.18,"(-97.69191575, 30.21519746)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11346874,211216
11608898,11/20/2017,2017,11,Site Plan,SP-2016-0457C,Approved and Released,Site Plan Administrative,Consolidated,No,Bull Creek,Vacant,Office Building,Vacant to Office Building,13939.2,14113.44,137,0,0,0,0,137,0,0.59,0.18,"(-97.74761022, 30.40349736)",2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11608898,77442
